Year,population,birth,death,increments,birthrate
1989,"42,449,038 ","639,431 ","236,818 ","402,613 ",1.56
1990,"42,869,283 ","649,738 ","241,616 ","408,122 ",1.57
1991,"43,295,704 ","709,275 ","242,270 ","467,005 ",1.71
1992,"43,747,962 ","730,678 ","236,162 ","494,516 ",1.76
1993,"44,194,628 ","715,826 ","234,257 ","481,569 ",1.654
1994,"44,641,540 ","721,185 ","242,439 ","478,746 ",1.656
1995,"45,092,991 ","715,020 ","242,838 ","472,182 ",1.634
1996,"45,524,681 ","691,226 ","241,149 ","450,077 ",1.574
1997,"45,953,580 ","675,394 ","241,943 ","433,451 ",1.537
1998,"46,286,503 ","641,594 ","243,193 ","398,401 ",1.464
1999,"46,616,677 ","620,668 ","245,364 ","375,304 ",1.425
2000,"47,008,111 ","640,089 ","246,163 ","393,326 ",1.48
2001,"47,370,164 ","559,934 ","241,521 ","318,413 ",1.309
2002,"47,644,736 ","496,911 ","245,317 ","251,594 ",1.178
2003,"47,892,330 ","495,096 ","244,506 ","250,590 ",1.191
2004,"48,082,519 ","476,958 ","244,217 ","232,741 ",1.164
2005,"48,184,561 ","438,707 ","243,883 ","194,824 ",1.085
2006,"48,438,292 ","451,759 ","242,266 ","209,593 ",1.132
2007,"48,683,638 ","496,822 ","244,874 ","251,948 ",1.259
2008,"49,054,708 ","465,892 ","246,113 ","219,779 ",1.192
2009,"49,307,835 ","444,849 ","246,942 ","197,907 ",1.149
2010,"49,554,112 ","470,171 ","255,405 ","214,766 ",1.226
2011,"49,936,638 ","471,265 ","257,396 ","213,869 ",1.244
2012,"50,199,853 ","484,550 ","267,300 ","217,000 ",1.297
2013,"50,428,893 ","436,455 ","266,257 ","170,198 ",1.187
2014,"50,746,659 ","435,435 ","267,692 ","167,743 ",1.205
2015,"51,014,947 ","438,420 ","275,895 ","162,925 ",1.239
2016,"51,217,803 ","406,243 ","280,827 ","125,416 ",1.172
2017,"51,361,911 ","357,771 ","285,534 ","72,237 ",1.052
2018,"51,585,058 ","326,822 ","298,820 ","28,002 ",0.977
2019,"51,764,822 ","303,054 ","295,132 ","7,922 ",0.918
2020,"51,836,239 ","272,337 ","304,948 ","(32,611)",0.837
2021,"51,744,876 ","260,562 ","317,680 ","(57,118)",0.808
